# Cycle: 3199, status: ACC, move: None
#     Time       Orderp
         0    -2.321685
         1    -2.298024
         2    -2.275020
         3    -2.252225
         4    -2.229234
         5    -2.205408
         6    -2.181414
         7    -2.156986
         8    -2.132220
         9    -2.107306
        10    -2.082957
        11    -2.059006
        12    -2.034857
        13    -2.010049
        14    -1.985222
        15    -1.961356
        16    -1.938428
        17    -1.915201
        18    -1.891787
        19    -1.867744
        20    -1.843344
        21    -1.819613
        22    -1.795780
        23    -1.771873
        24    -1.748857
        25    -1.727200
        26    -1.705581
        27    -1.685037
