# Cycle: 3137, status: ACC
#     Step              Filename       index    vel
         0  002_200918_2861_trajB.traj           9     -1
         1  002_200918_2861_trajB.traj           8     -1
         2  002_200918_2861_trajB.traj           7     -1
         3  002_200918_2861_trajB.traj           6     -1
         4  002_200918_2861_trajB.traj           5     -1
         5  002_200918_2861_trajB.traj           4     -1
         6  002_200918_2861_trajB.traj           3     -1
         7  002_200918_2861_trajB.traj           2     -1
         8  002_200918_2861_trajB.traj           1     -1
         9  002_200918_2861_trajB.traj           0     -1
        10  002_200918_2859_trajB.traj           2     -1
        11  002_200918_2859_trajB.traj           1     -1
        12  002_200918_2859_trajB.traj           0     -1
        13  002_200918_2860_trajF.traj           1      1
        14  002_200918_2860_trajF.traj           2      1
        15  002_200918_2860_trajF.traj           3      1
        16  002_200918_2860_trajF.traj           4      1
        17  002_200918_2860_trajF.traj           5      1
        18  002_200918_2860_trajF.traj           6      1
        19  002_200918_2860_trajF.traj           7      1
        20  002_200918_2860_trajF.traj           8      1
        21  002_200918_2860_trajF.traj           9      1
        22  002_200918_2860_trajF.traj          10      1
        23  002_200918_2860_trajF.traj          11      1
        24  002_200918_2860_trajF.traj          12      1
        25  002_200918_2860_trajF.traj          13      1
        26  002_200918_2860_trajF.traj          14      1
        27  002_200918_2860_trajF.traj          15      1
        28  002_200918_2860_trajF.traj          16      1
        29  002_200918_2860_trajF.traj          17      1
        30  002_200918_2860_trajF.traj          18      1
        31  002_200918_2860_trajF.traj          19      1
        32  002_200918_2860_trajF.traj          20      1
        33  002_200918_2860_trajF.traj          21      1
        34  002_200918_2860_trajF.traj          22      1
        35  002_200918_2860_trajF.traj          23      1
        36  002_200918_2860_trajF.traj          24      1
        37  002_200918_2860_trajF.traj          25      1
        38  002_200918_2860_trajF.traj          26      1
        39  002_200918_2860_trajF.traj          27      1
        40  002_200918_2860_trajF.traj          28      1
        41  002_200918_2860_trajF.traj          29      1
        42  002_200918_2860_trajF.traj          30      1
        43  002_200918_2860_trajF.traj          31      1
        44  002_200918_2860_trajF.traj          32      1
        45  002_200918_2862_trajF.traj           0      1
        46  002_200918_2862_trajF.traj           1      1
        47  002_200918_2862_trajF.traj           2      1
        48  002_200918_2862_trajF.traj           3      1
        49  002_200918_2862_trajF.traj           4      1
        50  002_200918_2862_trajF.traj           5      1
        51  002_200918_2862_trajF.traj           6      1
        52  002_200918_2862_trajF.traj           7      1
        53  002_200918_2862_trajF.traj           8      1
