# Cycle: 3193, status: ACC, move: ('wf', 9000, 3, 63)
#     Time       Orderp
         0    -1.709414
         1    -1.648066
         2    -1.587515
         3    -1.528371
         4    -1.470299
         5    -1.413481
         6    -1.357451
         7    -1.303436
         8    -1.251803
         9    -1.202040
        10    -1.153389
        11    -1.107323
        12    -1.063304
        13    -1.020407
        14    -0.978384
        15    -0.936643
        16    -0.894028
        17    -0.850993
        18    -0.807908
        19    -0.764158
        20    -0.721483
        21    -0.679617
        22    -0.637840
        23    -0.598032
        24    -0.561345
        25    -0.527960
        26    -0.498159
        27    -0.474719
        28    -0.457900
        29    -0.447524
        30    -0.444089
        31    -0.447431
        32    -0.456657
        33    -0.471564
        34    -0.492161
        35    -0.518385
        36    -0.549887
        37    -0.585358
        38    -0.623916
        39    -0.664013
        40    -0.706193
        41    -0.749409
        42    -0.791787
        43    -0.833795
        44    -0.875250
        45    -0.917744
        46    -0.960177
        47    -1.002427
        48    -1.045095
        49    -1.088291
        50    -1.131986
        51    -1.176100
        52    -1.220595
        53    -1.266160
        54    -1.312880
        55    -1.360864
        56    -1.410285
        57    -1.461064
        58    -1.513050
        59    -1.566016
        60    -1.620310
        61    -1.675922
        62    -1.732401
